profileID,respID,qID,altID,obsID,price,type,freshness,image
66,3,5,1,17,4,Fuji,Average,fuji.jpg
60,3,5,2,17,3,Red Delicious,Average,redDelicious.jpg
1,3,5,3,17,1,Fuji,Excellent,fuji.jpg
48,3,6,1,18,2,Honeycrisp,Average,honeycrisp.jpg
15,3,6,2,18,2,Red Delicious,Excellent,redDelicious.jpg
59,3,6,3,18,3,Pink Lady,Average,pinkLady.jpg
34,4,1,1,19,4,Pink Lady,Excellent,pinkLady.jpg
57,4,1,2,19,3,Gala,Average,gala.jpg
77,4,1,3,19,1.5,Gala,Poor,gala.jpg
17,4,2,1,20,2.5,Gala,Excellent,gala.jpg
46,4,2,2,20,2,Fuji,Average,fuji.jpg
58,4,2,3,20,3,Honeycrisp,Average,honeycrisp.jpg
28,4,3,1,21,3.5,Honeycrisp,Excellent,honeycrisp.jpg
76,4,3,2,21,1.5,Fuji,Poor,fuji.jpg
84,4,3,3,21,2,Pink Lady,Poor,pinkLady.jpg
9,4,4,1,22,1.5,Pink Lady,Excellent,pinkLady.jpg
51,4,4,2,22,2.5,Fuji,Average,fuji.jpg
83,4,4,3,22,2,Honeycrisp,Poor,honeycrisp.jpg
28,4,5,1,23,3.5,Honeycrisp,Excellent,honeycrisp.jpg
91,4,5,2,23,3,Fuji,Poor,fuji.jpg
11,4,5,3,23,2,Fuji,Excellent,fuji.jpg
6,4,6,1,24,1.5,Fuji,Excellent,fuji.jpg
18,4,6,2,24,2.5,Honeycrisp,Excellent,honeycrisp.jpg
86,4,6,3,24,2.5,Fuji,Poor,fuji.jpg
3,5,1,1,25,1,Honeycrisp,Excellent,honeycrisp.jpg
69,5,1,2,25,4,Pink Lady,Average,pinkLady.jpg
83,5,1,3,25,2,Honeycrisp,Poor,honeycrisp.jpg
31,5,2,1,26,4,Fuji,Excellent,fuji.jpg
15,5,2,2,26,2,Red Delicious,Excellent,redDelicious.jpg
40,5,2,3,26,1,Red Delicious,Average,redDelicious.jpg
105,5,3,1,27,4,Red Delicious,Poor,redDelicious.jpg
10,5,3,2,27,1.5,Red Delicious,Excellent,redDelicious.jpg
89,5,3,3,27,2.5,Pink Lady,Poor,pinkLady.jpg
65,5,4,1,28,3.5,Red Delicious,Average,redDelicious.jpg
10,5,4,2,28,1.5,Red Delicious,Excellent,redDelicious.jpg
61,5,4,3,28,3.5,Fuji,Average,fuji.jpg
56,5,5,1,29,3,Fuji,Average,fuji.jpg
29,5,5,2,29,3.5,Pink Lady,Excellent,pinkLady.jpg
14,5,5,3,29,2,Pink Lady,Excellent,pinkLady.jpg
19,5,6,1,30,2.5,Pink Lady,Excellent,pinkLady.jpg
99,5,6,2,30,3.5,Pink Lady,Poor,pinkLady.jpg
43,5,6,3,30,1.5,Honeycrisp,Average,honeycrisp.jpg
3,6,1,1,31,1,Honeycrisp,Excellent,honeycrisp.jpg
82,6,1,2,31,2,Gala,Poor,gala.jpg
72,6,1,3,31,1,Gala,Poor,gala.jpg
7,6,2,1,32,1.5,Gala,Excellent,gala.jpg
26,6,2,2,32,3.5,Fuji,Excellent,fuji.jpg
63,6,2,3,32,3.5,Honeycrisp,Average,honeycrisp.jpg
26,6,3,1,33,3.5,Fuji,Excellent,fuji.jpg
80,6,3,2,33,1.5,Red Delicious,Poor,redDelicious.jpg
44,6,3,3,33,1.5,Pink Lady,Average,pinkLady.jpg
3,6,4,1,34,1,Honeycrisp,Excellent,honeycrisp.jpg
60,6,4,2,34,3,Red Delicious,Average,redDelicious.jpg
37,6,4,3,34,1,Gala,Average,gala.jpg
101,6,5,1,35,4,Fuji,Poor,fuji.jpg
29,6,5,2,35,3.5,Pink Lady,Excellent,pinkLady.jpg
22,6,5,3,35,3,Gala,Excellent,gala.jpg
2,6,6,1,36,1,Gala,Excellent,gala.jpg
38,6,6,2,36,1,Honeycrisp,Average,honeycrisp.jpg
6,6,6,3,36,1.5,Fuji,Excellent,fuji.jpg
5,7,1,1,37,1,Red Delicious,Excellent,redDelicious.jpg
48,7,1,2,37,2,Honeycrisp,Average,honeycrisp.jpg
18,7,1,3,37,2.5,Honeycrisp,Excellent,honeycrisp.jpg
53,7,2,1,38,2.5,Honeycrisp,Average,honeycrisp.jpg
19,7,2,2,38,2.5,Pink Lady,Excellent,pinkLady.jpg
29,7,2,3,38,3.5,Pink Lady,Excellent,pinkLady.jpg
49,7,3,1,39,2,Pink Lady,Average,pinkLady.jpg
61,7,3,2,39,3.5,Fuji,Average,fuji.jpg
4,7,3,3,39,1,Pink Lady,Excellent,pinkLady.jpg
85,7,4,1,40,2,Red Delicious,Poor,redDelicious.jpg
68,7,4,2,40,4,Honeycrisp,Average,honeycrisp.jpg
65,7,4,3,40,3.5,Red Delicious,Average,redDelicious.jpg
86,7,5,1,41,2.5,Fuji,Poor,fuji.jpg
26,7,5,2,41,3.5,Fuji,Excellent,fuji.jpg
4,7,5,3,41,1,Pink Lady,Excellent,pinkLady.jpg
50,7,6,1,42,2,Red Delicious,Average,redDelicious.jpg
17,7,6,2,42,2.5,Gala,Excellent,gala.jpg
68,7,6,3,42,4,Honeycrisp,Average,honeycrisp.jpg
83,8,1,1,43,2,Honeycrisp,Poor,honeycrisp.jpg
2,8,1,2,43,1,Gala,Excellent,gala.jpg
101,8,1,3,43,4,Fuji,Poor,fuji.jpg
104,8,2,1,44,4,Pink Lady,Poor,pinkLady.jpg
42,8,2,2,44,1.5,Gala,Average,gala.jpg
19,8,2,3,44,2.5,Pink Lady,Excellent,pinkLady.jpg
70,8,3,1,45,4,Red Delicious,Average,redDelicious.jpg
41,8,3,2,45,1.5,Fuji,Average,fuji.jpg
35,8,3,3,45,4,Red Delicious,Excellent,redDelicious.jpg
49,8,4,1,46,2,Pink Lady,Average,pinkLady.jpg
22,8,4,2,46,3,Gala,Excellent,gala.jpg
36,8,4,3,46,1,Fuji,Average,fuji.jpg
11,8,5,1,47,2,Fuji,Excellent,fuji.jpg
41,8,5,2,47,1.5,Fuji,Average,fuji.jpg
97,8,5,3,47,3.5,Gala,Poor,gala.jpg
94,8,6,1,48,3,Pink Lady,Poor,pinkLady.jpg
1,8,6,2,48,1,Fuji,Excellent,fuji.jpg
7,8,6,3,48,1.5,Gala,Excellent,gala.jpg
36,9,1,1,49,1,Fuji,Average,fuji.jpg
6,9,1,2,49,1.5,Fuji,Excellent,fuji.jpg
14,9,1,3,49,2,Pink Lady,Excellent,pinkLady.jpg
101,9,2,1,50,4,Fuji,Poor,fuji.jpg
45,9,2,2,50,1.5,Red Delicious,Average,redDelicious.jpg
94,9,2,3,50,3,Pink Lady,Poor,pinkLady.jpg
29,9,3,1,51,3.5,Pink Lady,Excellent,pinkLady.jpg
4,9,3,2,51,1,Pink Lady,Excellent,pinkLady.jpg
34,9,3,3,51,4,Pink Lady,Excellent,pinkLady.jpg
23,9,4,1,52,3,Honeycrisp,Excellent,honeycrisp.jpg
68,9,4,2,52,4,Honeycrisp,Average,honeycrisp.jpg
64,9,4,3,52,3.5,Pink Lady,Average,pinkLady.jpg
79,9,5,1,53,1.5,Pink Lady,Poor,pinkLady.jpg
23,9,5,2,53,3,Honeycrisp,Excellent,honeycrisp.jpg
98,9,5,3,53,3.5,Honeycrisp,Poor,honeycrisp.jpg
2,9,6,1,54,1,Gala,Excellent,gala.jpg
85,9,6,2,54,2,Red Delicious,Poor,redDelicious.jpg
14,9,6,3,54,2,Pink Lady,Excellent,pinkLady.jpg
83,10,1,1,55,2,Honeycrisp,Poor,honeycrisp.jpg
94,10,1,2,55,3,Pink Lady,Poor,pinkLady.jpg
26,10,1,3,55,3.5,Fuji,Excellent,fuji.jpg
105,10,2,1,56,4,Red Delicious,Poor,redDelicious.jpg
19,10,2,2,56,2.5,Pink Lady,Excellent,pinkLady.jpg
80,10,2,3,56,1.5,Red Delicious,Poor,redDelicious.jpg
101,10,3,1,57,4,Fuji,Poor,fuji.jpg
11,10,3,2,57,2,Fuji,Excellent,fuji.jpg
87,10,3,3,57,2.5,Gala,Poor,gala.jpg
6,10,4,1,58,1.5,Fuji,Excellent,fuji.jpg
76,10,4,2,58,1.5,Fuji,Poor,fuji.jpg
7,10,4,3,58,1.5,Gala,Excellent,gala.jpg
86,10,5,1,59,2.5,Fuji,Poor,fuji.jpg
96,10,5,2,59,3.5,Fuji,Poor,fuji.jpg
30,10,5,3,59,3.5,Red Delicious,Excellent,redDelicious.jpg
29,10,6,1,60,3.5,Pink Lady,Excellent,pinkLady.jpg
55,10,6,2,60,2.5,Red Delicious,Average,redDelicious.jpg
53,10,6,3,60,2.5,Honeycrisp,Average,honeycrisp.jpg
35,11,1,1,61,4,Red Delicious,Excellent,redDelicious.jpg
32,11,1,2,61,4,Gala,Excellent,gala.jpg
94,11,1,3,61,3,Pink Lady,Poor,pinkLady.jpg
65,11,2,1,62,3.5,Red Delicious,Average,redDelicious.jpg
55,11,2,2,62,2.5,Red Delicious,Average,redDelicious.jpg
17,11,2,3,62,2.5,Gala,Excellent,gala.jpg
80,11,3,1,63,1.5,Red Delicious,Poor,redDelicious.jpg
93,11,3,2,63,3,Honeycrisp,Poor,honeycrisp.jpg
7,11,3,3,63,1.5,Gala,Excellent,gala.jpg
88,11,4,1,64,2.5,Honeycrisp,Poor,honeycrisp.jpg
100,11,4,2,64,3.5,Red Delicious,Poor,redDelicious.jpg
84,11,4,3,64,2,Pink Lady,Poor,pinkLady.jpg
78,11,5,1,65,1.5,Honeycrisp,Poor,honeycrisp.jpg
59,11,5,2,65,3,Pink Lady,Average,pinkLady.jpg
53,11,5,3,65,2.5,Honeycrisp,Average,honeycrisp.jpg
72,11,6,1,66,1,Gala,Poor,gala.jpg
84,11,6,2,66,2,Pink Lady,Poor,pinkLady.jpg
7,11,6,3,66,1.5,Gala,Excellent,gala.jpg
81,12,1,1,67,2,Fuji,Poor,fuji.jpg
30,12,1,2,67,3.5,Red Delicious,Excellent,redDelicious.jpg
39,12,1,3,67,1,Pink Lady,Average,pinkLady.jpg
24,12,2,1,68,3,Pink Lady,Excellent,pinkLady.jpg
28,12,2,2,68,3.5,Honeycrisp,Excellent,honeycrisp.jpg
58,12,2,3,68,3,Honeycrisp,Average,honeycrisp.jpg
102,12,3,1,69,4,Gala,Poor,gala.jpg
90,12,3,2,69,2.5,Red Delicious,Poor,redDelicious.jpg
50,12,3,3,69,2,Red Delicious,Average,redDelicious.jpg
72,12,4,1,70,1,Gala,Poor,gala.jpg
56,12,4,2,70,3,Fuji,Average,fuji.jpg
64,12,4,3,70,3.5,Pink Lady,Average,pinkLady.jpg
90,12,5,1,71,2.5,Red Delicious,Poor,redDelicious.jpg
58,12,5,2,71,3,Honeycrisp,Average,honeycrisp.jpg
96,12,5,3,71,3.5,Fuji,Poor,fuji.jpg
64,12,6,1,72,3.5,Pink Lady,Average,pinkLady.jpg
20,12,6,2,72,2.5,Red Delicious,Excellent,redDelicious.jpg
99,12,6,3,72,3.5,Pink Lady,Poor,pinkLady.jpg
27,13,1,1,73,3.5,Gala,Excellent,gala.jpg
34,13,1,2,73,4,Pink Lady,Excellent,pinkLady.jpg
8,13,1,3,73,1.5,Honeycrisp,Excellent,honeycrisp.jpg
79,13,2,1,74,1.5,Pink Lady,Poor,pinkLady.jpg
84,13,2,2,74,2,Pink Lady,Poor,pinkLady.jpg
74,13,2,3,74,1,Pink Lady,Poor,pinkLady.jpg
17,13,3,1,75,2.5,Gala,Excellent,gala.jpg
46,13,3,2,75,2,Fuji,Average,fuji.jpg
97,13,3,3,75,3.5,Gala,Poor,gala.jpg
52,13,4,1,76,2.5,Gala,Average,gala.jpg
1,13,4,2,76,1,Fuji,Excellent,fuji.jpg
35,13,4,3,76,4,Red Delicious,Excellent,redDelicious.jpg
65,13,5,1,77,3.5,Red Delicious,Average,redDelicious.jpg
91,13,5,2,77,3,Fuji,Poor,fuji.jpg
44,13,5,3,77,1.5,Pink Lady,Average,pinkLady.jpg
22,13,6,1,78,3,Gala,Excellent,gala.jpg
4,13,6,2,78,1,Pink Lady,Excellent,pinkLady.jpg
80,13,6,3,78,1.5,Red Delicious,Poor,redDelicious.jpg
74,14,1,1,79,1,Pink Lady,Poor,pinkLady.jpg
33,14,1,2,79,4,Honeycrisp,Excellent,honeycrisp.jpg
55,14,1,3,79,2.5,Red Delicious,Average,redDelicious.jpg
83,14,2,1,80,2,Honeycrisp,Poor,honeycrisp.jpg
21,14,2,2,80,3,Fuji,Excellent,fuji.jpg
73,14,2,3,80,1,Honeycrisp,Poor,honeycrisp.jpg
4,14,3,1,81,1,Pink Lady,Excellent,pinkLady.jpg
100,14,3,2,81,3.5,Red Delicious,Poor,redDelicious.jpg
80,14,3,3,81,1.5,Red Delicious,Poor,redDelicious.jpg
25,14,4,1,82,3,Red Delicious,Excellent,redDelicious.jpg
83,14,4,2,82,2,Honeycrisp,Poor,honeycrisp.jpg
4,14,4,3,82,1,Pink Lady,Excellent,pinkLady.jpg
18,14,5,1,83,2.5,Honeycrisp,Excellent,honeycrisp.jpg
76,14,5,2,83,1.5,Fuji,Poor,fuji.jpg
81,14,5,3,83,2,Fuji,Poor,fuji.jpg
20,14,6,1,84,2.5,Red Delicious,Excellent,redDelicious.jpg
62,14,6,2,84,3.5,Gala,Average,gala.jpg
54,14,6,3,84,2.5,Pink Lady,Average,pinkLady.jpg
102,15,1,1,85,4,Gala,Poor,gala.jpg
31,15,1,2,85,4,Fuji,Excellent,fuji.jpg
43,15,1,3,85,1.5,Honeycrisp,Average,honeycrisp.jpg
43,15,2,1,86,1.5,Honeycrisp,Average,honeycrisp.jpg
85,15,2,2,86,2,Red Delicious,Poor,redDelicious.jpg
32,15,2,3,86,4,Gala,Excellent,gala.jpg
87,15,3,1,87,2.5,Gala,Poor,gala.jpg
104,15,3,2,87,4,Pink Lady,Poor,pinkLady.jpg
19,15,3,3,87,2.5,Pink Lady,Excellent,pinkLady.jpg
102,15,4,1,88,4,Gala,Poor,gala.jpg
59,15,4,2,88,3,Pink Lady,Average,pinkLady.jpg
9,15,4,3,88,1.5,Pink Lady,Excellent,pinkLady.jpg
52,15,5,1,89,2.5,Gala,Average,gala.jpg
32,15,5,2,89,4,Gala,Excellent,gala.jpg
13,15,5,3,89,2,Honeycrisp,Excellent,honeycrisp.jpg
79,15,6,1,90,1.5,Pink Lady,Poor,pinkLady.jpg
101,15,6,2,90,4,Fuji,Poor,fuji.jpg
69,15,6,3,90,4,Pink Lady,Average,pinkLady.jpg
74,16,1,1,91,1,Pink Lady,Poor,pinkLady.jpg
33,16,1,2,91,4,Honeycrisp,Excellent,honeycrisp.jpg
96,16,1,3,91,3.5,Fuji,Poor,fuji.jpg
51,16,2,1,92,2.5,Fuji,Average,fuji.jpg
103,16,2,2,92,4,Honeycrisp,Poor,honeycrisp.jpg
56,16,2,3,92,3,Fuji,Average,fuji.jpg
53,16,3,1,93,2.5,Honeycrisp,Average,honeycrisp.jpg
2,16,3,2,93,1,Gala,Excellent,gala.jpg
36,16,3,3,93,1,Fuji,Average,fuji.jpg
98,16,4,1,94,3.5,Honeycrisp,Poor,honeycrisp.jpg
91,16,4,2,94,3,Fuji,Poor,fuji.jpg
59,16,4,3,94,3,Pink Lady,Average,pinkLady.jpg
4,16,5,1,95,1,Pink Lady,Excellent,pinkLady.jpg
95,16,5,2,95,3,Red Delicious,Poor,redDelicious.jpg
22,16,5,3,95,3,Gala,Excellent,gala.jpg
66,16,6,1,96,4,Fuji,Average,fuji.jpg
21,16,6,2,96,3,Fuji,Excellent,fuji.jpg
24,16,6,3,96,3,Pink Lady,Excellent,pinkLady.jpg
7,17,1,1,97,1.5,Gala,Excellent,gala.jpg
15,17,1,2,97,2,Red Delicious,Excellent,redDelicious.jpg
4,17,1,3,97,1,Pink Lady,Excellent,pinkLady.jpg
94,17,2,1,98,3,Pink Lady,Poor,pinkLady.jpg
50,17,2,2,98,2,Red Delicious,Average,redDelicious.jpg
84,17,2,3,98,2,Pink Lady,Poor,pinkLady.jpg
26,17,3,1,99,3.5,Fuji,Excellent,fuji.jpg
98,17,3,2,99,3.5,Honeycrisp,Poor,honeycrisp.jpg
104,17,3,3,99,4,Pink Lady,Poor,pinkLady.jpg
55,17,4,1,100,2.5,Red Delicious,Average,redDelicious.jpg
57,17,4,2,100,3,Gala,Average,gala.jpg
43,17,4,3,100,1.5,Honeycrisp,Average,honeycrisp.jpg
45,17,5,1,101,1.5,Red Delicious,Average,redDelicious.jpg
20,17,5,2,101,2.5,Red Delicious,Excellent,redDelicious.jpg
47,17,5,3,101,2,Gala,Average,gala.jpg
24,17,6,1,102,3,Pink Lady,Excellent,pinkLady.jpg
19,17,6,2,102,2.5,Pink Lady,Excellent,pinkLady.jpg
82,17,6,3,102,2,Gala,Poor,gala.jpg
91,18,1,1,103,3,Fuji,Poor,fuji.jpg
85,18,1,2,103,2,Red Delicious,Poor,redDelicious.jpg
22,18,1,3,103,3,Gala,Excellent,gala.jpg
16,18,2,1,104,2.5,Fuji,Excellent,fuji.jpg
73,18,2,2,104,1,Honeycrisp,Poor,honeycrisp.jpg
70,18,2,3,104,4,Red Delicious,Average,redDelicious.jpg
52,18,3,1,105,2.5,Gala,Average,gala.jpg
66,18,3,2,105,4,Fuji,Average,fuji.jpg
64,18,3,3,105,3.5,Pink Lady,Average,pinkLady.jpg
39,18,4,1,106,1,Pink Lady,Average,pinkLady.jpg
12,18,4,2,106,2,Gala,Excellent,gala.jpg
85,18,4,3,106,2,Red Delicious,Poor,redDelicious.jpg
96,18,5,1,107,3.5,Fuji,Poor,fuji.jpg
91,18,5,2,107,3,Fuji,Poor,fuji.jpg
51,18,5,3,107,2.5,Fuji,Average,fuji.jpg
90,18,6,1,108,2.5,Red Delicious,Poor,redDelicious.jpg
67,18,6,2,108,4,Gala,Average,gala.jpg
84,18,6,3,108,2,Pink Lady,Poor,pinkLady.jpg
74,19,1,1,109,1,Pink Lady,Poor,pinkLady.jpg
62,19,1,2,109,3.5,Gala,Average,gala.jpg
45,19,1,3,109,1.5,Red Delicious,Average,redDelicious.jpg
102,19,2,1,110,4,Gala,Poor,gala.jpg
51,19,2,2,110,2.5,Fuji,Average,fuji.jpg
60,19,2,3,110,3,Red Delicious,Average,redDelicious.jpg
65,19,3,1,111,3.5,Red Delicious,Average,redDelicious.jpg
73,19,3,2,111,1,Honeycrisp,Poor,honeycrisp.jpg
51,19,3,3,111,2.5,Fuji,Average,fuji.jpg
24,19,4,1,112,3,Pink Lady,Excellent,pinkLady.jpg
44,19,4,2,112,1.5,Pink Lady,Average,pinkLady.jpg
51,19,4,3,112,2.5,Fuji,Average,fuji.jpg
59,19,5,1,113,3,Pink Lady,Average,pinkLady.jpg
83,19,5,2,113,2,Honeycrisp,Poor,honeycrisp.jpg
13,19,5,3,113,2,Honeycrisp,Excellent,honeycrisp.jpg
50,19,6,1,114,2,Red Delicious,Average,redDelicious.jpg
92,19,6,2,114,3,Gala,Poor,gala.jpg
48,19,6,3,114,2,Honeycrisp,Average,honeycrisp.jpg
70,20,1,1,115,4,Red Delicious,Average,redDelicious.jpg
104,20,1,2,115,4,Pink Lady,Poor,pinkLady.jpg
60,20,1,3,115,3,Red Delicious,Average,redDelicious.jpg
49,20,2,1,116,2,Pink Lady,Average,pinkLady.jpg
82,20,2,2,116,2,Gala,Poor,gala.jpg
93,20,2,3,116,3,Honeycrisp,Poor,honeycrisp.jpg
46,20,3,1,117,2,Fuji,Average,fuji.jpg
85,20,3,2,117,2,Red Delicious,Poor,redDelicious.jpg
75,20,3,3,117,1,Red Delicious,Poor,redDelicious.jpg
21,20,4,1,118,3,Fuji,Excellent,fuji.jpg
71,20,4,2,118,1,Fuji,Poor,fuji.jpg
18,20,4,3,118,2.5,Honeycrisp,Excellent,honeycrisp.jpg
39,20,5,1,119,1,Pink Lady,Average,pinkLady.jpg
56,20,5,2,119,3,Fuji,Average,fuji.jpg
55,20,5,3,119,2.5,Red Delicious,Average,redDelicious.jpg
74,20,6,1,120,1,Pink Lady,Poor,pinkLady.jpg
36,20,6,2,120,1,Fuji,Average,fuji.jpg
73,20,6,3,120,1,Honeycrisp,Poor,honeycrisp.jpg
9,21,1,1,121,1.5,Pink Lady,Excellent,pinkLady.jpg
97,21,1,2,121,3.5,Gala,Poor,gala.jpg
11,21,1,3,121,2,Fuji,Excellent,fuji.jpg
60,21,2,1,122,3,Red Delicious,Average,redDelicious.jpg
7,21,2,2,122,1.5,Gala,Excellent,gala.jpg
89,21,2,3,122,2.5,Pink Lady,Poor,pinkLady.jpg
76,21,3,1,123,1.5,Fuji,Poor,fuji.jpg
25,21,3,2,123,3,Red Delicious,Excellent,redDelicious.jpg
24,21,3,3,123,3,Pink Lady,Excellent,pinkLady.jpg
35,21,4,1,124,4,Red Delicious,Excellent,redDelicious.jpg
88,21,4,2,124,2.5,Honeycrisp,Poor,honeycrisp.jpg
24,21,4,3,124,3,Pink Lady,Excellent,pinkLady.jpg
37,21,5,1,125,1,Gala,Average,gala.jpg
7,21,5,2,125,1.5,Gala,Excellent,gala.jpg
72,21,5,3,125,1,Gala,Poor,gala.jpg
99,21,6,1,126,3.5,Pink Lady,Poor,pinkLady.jpg
90,21,6,2,126,2.5,Red Delicious,Poor,redDelicious.jpg
75,21,6,3,126,1,Red Delicious,Poor,redDelicious.jpg
52,22,1,1,127,2.5,Gala,Average,gala.jpg
12,22,1,2,127,2,Gala,Excellent,gala.jpg
60,22,1,3,127,3,Red Delicious,Average,redDelicious.jpg
49,22,2,1,128,2,Pink Lady,Average,pinkLady.jpg
79,22,2,2,128,1.5,Pink Lady,Poor,pinkLady.jpg
25,22,2,3,128,3,Red Delicious,Excellent,redDelicious.jpg
42,22,3,1,129,1.5,Gala,Average,gala.jpg
18,22,3,2,129,2.5,Honeycrisp,Excellent,honeycrisp.jpg
3,22,3,3,129,1,Honeycrisp,Excellent,honeycrisp.jpg
90,22,4,1,130,2.5,Red Delicious,Poor,redDelicious.jpg
12,22,4,2,130,2,Gala,Excellent,gala.jpg
7,22,4,3,130,1.5,Gala,Excellent,gala.jpg
41,22,5,1,131,1.5,Fuji,Average,fuji.jpg
13,22,5,2,131,2,Honeycrisp,Excellent,honeycrisp.jpg
51,22,5,3,131,2.5,Fuji,Average,fuji.jpg
86,22,6,1,132,2.5,Fuji,Poor,fuji.jpg
27,22,6,2,132,3.5,Gala,Excellent,gala.jpg
21,22,6,3,132,3,Fuji,Excellent,fuji.jpg
70,23,1,1,133,4,Red Delicious,Average,redDelicious.jpg
1,23,1,2,133,1,Fuji,Excellent,fuji.jpg
73,23,1,3,133,1,Honeycrisp,Poor,honeycrisp.jpg
98,23,2,1,134,3.5,Honeycrisp,Poor,honeycrisp.jpg
93,23,2,2,134,3,Honeycrisp,Poor,honeycrisp.jpg
57,23,2,3,134,3,Gala,Average,gala.jpg
39,23,3,1,135,1,Pink Lady,Average,pinkLady.jpg
18,23,3,2,135,2.5,Honeycrisp,Excellent,honeycrisp.jpg
84,23,3,3,135,2,Pink Lady,Poor,pinkLady.jpg
15,23,4,1,136,2,Red Delicious,Excellent,redDelicious.jpg
56,23,4,2,136,3,Fuji,Average,fuji.jpg
94,23,4,3,136,3,Pink Lady,Poor,pinkLady.jpg
55,23,5,1,137,2.5,Red Delicious,Average,redDelicious.jpg
95,23,5,2,137,3,Red Delicious,Poor,redDelicious.jpg
96,23,5,3,137,3.5,Fuji,Poor,fuji.jpg
87,23,6,1,138,2.5,Gala,Poor,gala.jpg
94,23,6,2,138,3,Pink Lady,Poor,pinkLady.jpg
12,23,6,3,138,2,Gala,Excellent,gala.jpg
78,24,1,1,139,1.5,Honeycrisp,Poor,honeycrisp.jpg
26,24,1,2,139,3.5,Fuji,Excellent,fuji.jpg
92,24,1,3,139,3,Gala,Poor,gala.jpg
22,24,2,1,140,3,Gala,Excellent,gala.jpg
10,24,2,2,140,1.5,Red Delicious,Excellent,redDelicious.jpg
59,24,2,3,140,3,Pink Lady,Average,pinkLady.jpg
70,24,3,1,141,4,Red Delicious,Average,redDelicious.jpg
7,24,3,2,141,1.5,Gala,Excellent,gala.jpg
24,24,3,3,141,3,Pink Lady,Excellent,pinkLady.jpg
11,24,4,1,142,2,Fuji,Excellent,fuji.jpg
70,24,4,2,142,4,Red Delicious,Average,redDelicious.jpg
40,24,4,3,142,1,Red Delicious,Average,redDelicious.jpg
54,24,5,1,143,2.5,Pink Lady,Average,pinkLady.jpg
36,24,5,2,143,1,Fuji,Average,fuji.jpg
79,24,5,3,143,1.5,Pink Lady,Poor,pinkLady.jpg
26,24,6,1,144,3.5,Fuji,Excellent,fuji.jpg
103,24,6,2,144,4,Honeycrisp,Poor,honeycrisp.jpg
